10,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.3,10,4,1,5,0,5,6,0,-1,5,0,-1,5,0,-1,5,0,5,5,0.04,-1
0.4,13,5,1.3,5,0,5,6,0,-1,5,0,-1,5,0,-1,5,0,5,5,0.04,-1
0.5,22,7,2.2,6,0,6,6,0,-1,6,0,-1,10,0,-1,6,0,6,6,0.06,-1
0.23,7,3,0.7,4,0,4,5,0,-1,4,0,-1,4,0,-1,4,0,4,4,0.04,-1
0.316,10,4,1,5,0,5,6,0,-1,5,0,-1,5,0,-1,5,0,5,5,0.04,-1
0.1,4,2,0.4,3,0,3,3,0,-1,3,0,-1,3,0,-1,3,0,3,3,0.02,-1
0.2,6,3,0.6,3,0,3,5,0,-1,3,0,-1,3,0,-1,3,0,3,3,0.03,-1

20,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.15,28,7,1.4,8,0.01,8,9,0,-1,8,0,-1,8,0,-1,8,0,8,8,0.1,-1
0.2,43,9,2.15,11,0.02,11,12,0,-1,11,0,-1,20,0,-1,11,0.02,11,11,0.12,-1
0.25,51,10,2.55,12,0.03,12,13,0,-1,12,0.01,-1,20,0,-1,12,0.02,12,12,0.14,-1
0.15,28,7,1.4,8,0,8,9,0,-1,8,0,-1,8,0,-1,8,0,8,8,0.1,-1
0.224,48,9,2.4,12,0.03,12,13,0,-1,12,0,-1,20,0,-1,12,0.03,12,12,0.12,-1
0.1,24,5,1.2,9,0.01,9,11,0,-1,9,0,-1,9,0,-1,9,0,9,9,0.09,-1
0.2,36,7,1.8,11,0.02,11,11,0,-1,11,0,-1,20,0,-1,11,0,11,11,0.12,-1

30,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.1,43,6,1.43,15,0.15,15,19,0,-1,15,0,-1,15,0,-1,15,0.01,15,15,0.15,-1
0.133,57,8,1.9,16,0.36,16,21,0,-1,16,0,-1,29,0,-1,16,0.19,16,17,0.18,-1
0.167,69,10,2.3,17,0.95,17,22,0,-1,17,0,-1,30,0,-1,17,0.96,17,18,0.22,-1
0.113,45,5,1.5,16,0.38,16,16,0,-1,16,0,-1,24,0,-1,16,0.01,16,16,0.16,-1
0.183,79,9,2.63,17,0.71,17,22,0.01,-1,17,0,-1,30,0,-1,17,0.36,17,18,0.23,-1
0.1,41,6,1.37,14,0.16,14,17,0,-1,14,0,-1,14,0,-1,14,0,14,15,0.16,-1
0.2,91,10,3.03,19,5.71,19,22,0,-1,19,0,-1,30,0,-1,19,5.55,19,20,0.25,-1

40,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.075,57,8,1.42,21,12.2,21,22,0,-1,21,0,-1,36,0,-1,21,0.04,21,21,0.23,-1
0.1,68,7,1.7,20,6.4,20,22,0,-1,20,0.01,-1,36,0,-1,20,0.1,20,21,0.25,-1
0.125,112,11,2.8,24,102,24,27,0,-1,24,0.01,-1,40,0,-1,24,24.5,24,25,0.32,-1
0.0922,89,9,2.22,22,53.1,22,28,0,-1,22,0.01,-1,40,0,-1,22,24.7,22,23,0.3,-1
0.158,113,10,2.83,24,173,24,26,0,-1,24,0.01,-1,40,0,-1,24,174,24,25,0.34,-1
0.1,69,7,1.73,21,18.1,21,26,0,-1,21,0.01,-1,35,0,-1,21,0.3,21,24,0.26,-1
